#,nombre,fase,color_2_prueba,altura_m,peso_kg,mega,forma_regional,metodo,mejor_stat,detalle_pokeapi
251,Celebi,ÚNICA,Blanco,0.6,5.0,no,no,NINGUNO,NO TIENE,
252,Treecko,FASE 1,ninguno,0.5,5.0,su evolución,no,NINGUNO,Velocidad,
253,Grovyle,FASE 2,Rojo,0.9,21.6,su evolución,no,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=16
254,Sceptile,FASE 3,ninguno,1.7,52.2,sí,no,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=36
255,Torchic,FASE 1,Amarillo,0.4,2.5,su evolución,no,NINGUNO,At. Esp.,
256,Combusken,FASE 2,Amarillo,0.9,19.5,su evolución,no,NIVEL,Ataque + At. Esp.,level-up version_group=ruby-sapphire min_level=16
257,Blaziken,FASE 3,Amarillo,1.9,52.0,sí,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=36
258,Mudkip,FASE 1,Rojo,0.4,7.6,su evolución,no,NINGUNO,Ataque,
259,Marshtomp,FASE 2,Verde,0.7,28.0,su evolución,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=16
260,Swampert,FASE 3,Negro,1.5,81.9,sí,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=36
261,Poochyena,FASE 1,Negro,0.5,13.6,no,no,NINGUNO,Ataque,
262,Mightyena,FASE 2,Negro,1.0,37.0,no,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=18
263,Zigzagoon,FASE 1,Blanco,0.4,17.5,no,Galar,NINGUNO,Velocidad,
264,Linoone,FASE 2,Marrón,0.5,32.5,no,Galar,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=20
265,Wurmple,FASE 1,Marrón,0.3,3.6,no,no,NINGUNO,PS + Ataque,
266,Silcoon,FASE 2,ninguno,0.6,10.0,no,no,NIVEL,Defensa,"level-up version_group=x-y min_level=7 condition_expression={'expression': 'EC 16 >> 10 % 4 <=', 'percentage_chance': 50, 'variables': [{'name': 'encryption-constant', 'url': 'https://pokeapi.co/api/v2/evolution-variable/1/'}]}"
267,Beautifly,FASE 3,Gris,1.0,28.4,no,no,NIVEL,At. Esp.,level-up version_group=ruby-sapphire min_level=10
268,Cascoon,FASE 2,Blanco,0.7,11.5,no,no,NIVEL,Defensa,"level-up version_group=x-y min_level=7 condition_expression={'expression': 'EC 16 >> 10 % 5 >=', 'percentage_chance': 50, 'variables': [{'name': 'encryption-constant', 'url': 'https://pokeapi.co/api/v2/evolution-variable/1/'}]}"
269,Dustox,FASE 3,Morado,1.2,31.6,no,no,NIVEL,Def. Esp.,level-up version_group=ruby-sapphire min_level=10
270,Lotad,FASE 1,Azul,0.5,2.6,no,no,NINGUNO,Def. Esp.,
271,Lombre,FASE 2,ninguno,1.2,32.5,no,no,NIVEL,Def. Esp.,level-up version_group=ruby-sapphire min_level=14
272,Ludicolo,FASE 3,Amarillo,1.5,55.0,no,no,PIEDRA,Def. Esp.,use-item version_group=ruby-sapphire item=water-stone
273,Seedot,FASE 1,Gris,0.5,4.0,no,no,NINGUNO,Defensa,
274,Nuzleaf,FASE 2,Blanco,1.0,28.0,no,no,NIVEL,PS + Ataque,level-up version_group=ruby-sapphire min_level=14
275,Shiftry,FASE 3,Blanco,1.3,59.6,no,no,PIEDRA,Ataque,use-item version_group=ruby-sapphire item=leaf-stone
276,Taillow,FASE 1,Rojo,0.3,2.3,no,no,NINGUNO,Velocidad,
277,Swellow,FASE 2,Rojo,0.7,19.8,no,no,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=22
278,Wingull,FASE 1,Azul,0.6,9.5,no,no,NINGUNO,Velocidad,
279,Pelipper,FASE 2,Blanco,1.2,28.0,no,no,NIVEL,Defensa,level-up version_group=ruby-sapphire min_level=25
280,Ralts,FASE 1,Verde,0.4,6.6,su evolución,no,NINGUNO,At. Esp.,
281,Kirlia,FASE 2,Verde,0.8,20.2,su evolución,no,NIVEL,At. Esp.,level-up version_group=ruby-sapphire min_level=20
282,Gardevoir,FASE 3,Verde,1.6,48.4,sí,no,NIVEL,At. Esp.,level-up version_group=ruby-sapphire min_level=30
283,Surskit,FASE 1,Amarillo,0.5,1.7,no,no,NINGUNO,Velocidad,
284,Masquerain,FASE 2,Blanco,0.8,3.6,no,no,NIVEL,At. Esp.,level-up version_group=ruby-sapphire min_level=22
285,Shroomish,FASE 1,Blanco,0.4,4.5,no,no,NINGUNO,NO TIENE,
286,Breloom,FASE 2,Marrón,1.2,39.2,no,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=23
287,Slakoth,FASE 1,Blanco,0.8,24.0,no,no,NINGUNO,NO TIENE,
288,Vigoroth,FASE 2,ninguno,1.4,46.5,no,no,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=18
289,Slaking,FASE 3,Blanco,2.0,130.5,no,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=36
290,Nincada,FASE 1,Blanco,0.5,5.5,no,no,NINGUNO,Defensa,
291,Ninjask,FASE 2,Blanco,0.8,12.0,no,no,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=20
292,Shedinja,FASE 2,Amarillo,0.8,1.2,no,no,ESPECIAL,Ataque,shed version_group=ruby-sapphire
293,Whismur,FASE 1,Amarillo,0.6,16.3,no,no,NINGUNO,PS,
294,Loudred,FASE 2,Morado,1.0,40.5,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=20
295,Exploud,FASE 3,Morado,1.5,84.0,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=40
296,Makuhita,FASE 1,ninguno,1.0,86.4,no,no,NINGUNO,PS,
297,Hariyama,FASE 2,Azul,2.3,253.8,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=24
298,Azurill,FASE 1,ninguno,0.2,2.0,no,no,NINGUNO,PS,
299,Nosepass,FASE 1,Azul,1.0,97.0,no,no,NINGUNO,Defensa,
300,Skitty,FASE 1,Marrón,0.6,11.0,no,no,NINGUNO,PS + Velocidad,
301,Delcatty,FASE 2,Rojo,1.1,32.6,no,no,PIEDRA,Velocidad,use-item version_group=ruby-sapphire item=moon-stone
302,Sableye,ÚNICA,ninguno,0.5,11.0,sí,no,NINGUNO,Ataque + Defensa,
303,Mawile,ÚNICA,Gris,0.6,11.5,sí,no,NINGUNO,Ataque + Defensa,
304,Aron,FASE 1,Blanco,0.4,60.0,su evolución,no,NINGUNO,Defensa,
305,Lairon,FASE 2,Blanco,0.9,120.0,su evolución,no,NIVEL,Defensa,level-up version_group=ruby-sapphire min_level=32
306,Aggron,FASE 3,Blanco,2.1,360.0,sí,no,NIVEL,Defensa,level-up version_group=ruby-sapphire min_level=42
307,Meditite,FASE 1,Blanco,0.6,11.2,su evolución,no,NINGUNO,Velocidad,
308,Medicham,FASE 2,Rosa,1.3,31.5,sí,no,NIVEL,Velocidad,level-up version_group=ruby-sapphire min_level=37
309,Electrike,FASE 1,Amarillo,0.6,15.2,su evolución,no,NINGUNO,At. Esp. + Velocidad,
310,Manectric,FASE 2,Azul,1.5,40.2,sí,no,NIVEL,At. Esp. + Velocidad,level-up version_group=ruby-sapphire min_level=26
311,Plusle,ÚNICA,Rojo,0.4,4.2,no,no,NINGUNO,Velocidad,
312,Minun,ÚNICA,Azul,0.4,4.2,no,no,NINGUNO,Velocidad,
313,Volbeat,ÚNICA,Azul,0.7,17.7,no,no,NINGUNO,Def. Esp. + Velocidad,
314,Illumise,ÚNICA,Azul,0.6,17.7,no,no,NINGUNO,Def. Esp. + Velocidad,
315,Roselia,FASE 2,Azul,0.3,2.0,no,no,AMISTAD,At. Esp.,level-up version_group=diamond-pearl min_happiness=160 time_of_day=day
316,Gulpin,FASE 1,Amarillo,0.4,10.3,no,no,NINGUNO,PS,
317,Swalot,FASE 2,ninguno,1.7,80.0,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=26
318,Carvanha,FASE 1,Amarillo,0.8,20.8,su evolución,no,NINGUNO,Ataque,
319,Sharpedo,FASE 2,Gris,1.8,88.8,sí,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=30
320,Wailmer,FASE 1,Blanco,2.0,130.0,no,no,NINGUNO,PS,
321,Wailord,FASE 2,Blanco,14.5,398.0,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=40
322,Numel,FASE 1,Blanco,0.7,24.0,su evolución,no,NINGUNO,At. Esp.,
323,Camerupt,FASE 2,Blanco,1.9,220.0,sí,no,NIVEL,At. Esp.,level-up version_group=ruby-sapphire min_level=33
324,Torkoal,ÚNICA,Gris,0.5,80.4,no,no,NINGUNO,Defensa,
325,Spoink,FASE 1,Gris,0.7,30.6,no,no,NINGUNO,Def. Esp.,
326,Grumpig,FASE 2,Rosa,0.9,71.5,no,no,NIVEL,Def. Esp.,level-up version_group=ruby-sapphire min_level=32
327,Spinda,ÚNICA,Blanco,1.1,5.0,no,no,NINGUNO,NO TIENE,
328,Trapinch,FASE 1,Rojo,0.7,15.0,no,no,NINGUNO,Ataque,
329,Vibrava,FASE 2,Gris,1.1,15.3,no,no,NIVEL,Ataque + Velocidad,level-up version_group=ruby-sapphire min_level=35
330,Flygon,FASE 3,ninguno,2.0,82.0,no,no,NIVEL,Ataque + Velocidad,level-up version_group=ruby-sapphire min_level=45
331,Cacnea,FASE 1,ninguno,0.4,51.3,no,no,NINGUNO,Ataque + At. Esp.,
332,Cacturne,FASE 2,ninguno,1.3,77.4,no,no,NIVEL,Ataque + At. Esp.,level-up version_group=ruby-sapphire min_level=32
333,Swablu,FASE 1,Blanco,0.4,1.2,su evolución,no,NINGUNO,Def. Esp.,
334,Altaria,FASE 2,Blanco,1.1,20.6,sí,no,NIVEL,Def. Esp.,level-up version_group=ruby-sapphire min_level=35
335,Zangoose,ÚNICA,Azul,1.3,40.3,no,no,NINGUNO,Ataque,
336,Seviper,ÚNICA,Azul,2.7,52.5,no,no,NINGUNO,Ataque + At. Esp.,
337,Lunatone,ÚNICA,ninguno,1.0,168.0,no,no,NINGUNO,At. Esp.,
338,Solrock,ÚNICA,Amarillo,1.2,154.0,no,no,NINGUNO,Ataque,
339,Barboach,FASE 1,Azul,0.4,1.9,no,no,NINGUNO,Velocidad,
340,Whiscash,FASE 2,Amarillo,0.9,23.6,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=30
341,Corphish,FASE 1,Blanco,0.6,11.5,no,no,NINGUNO,Ataque,
342,Crawdaunt,FASE 2,Gris,1.1,32.8,no,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=30
343,Baltoy,FASE 1,Amarillo,0.5,21.5,no,no,NINGUNO,Def. Esp.,
344,Claydol,FASE 2,Gris,1.5,108.0,no,no,NIVEL,Def. Esp.,level-up version_group=ruby-sapphire min_level=36
345,Lileep,FASE 1,Rosa,1.0,23.8,no,no,NINGUNO,Def. Esp.,
346,Cradily,FASE 2,Rosa,1.5,60.4,no,no,NIVEL,Def. Esp.,level-up version_group=ruby-sapphire min_level=40
347,Anorith,FASE 1,Verde,0.7,12.5,no,no,NINGUNO,Ataque,
348,Armaldo,FASE 2,Azul,1.5,68.2,no,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=40
349,Feebas,FASE 1,Azul,0.6,7.4,no,no,NINGUNO,Velocidad,
350,Milotic,FASE 2,Blanco,6.2,162.0,no,no,INTERCAMBIO,Def. Esp.,level-up version_group=omega-ruby-alpha-sapphire min_beauty=170
351,Castform,ÚNICA,Blanco,0.3,0.8,no,no,NINGUNO,NO TIENE,
352,Kecleon,ÚNICA,Amarillo,1.0,22.0,no,no,NINGUNO,Def. Esp.,
353,Shuppet,FASE 1,Azul,0.6,2.3,su evolución,no,NINGUNO,Ataque,
354,Banette,FASE 2,Gris,1.1,12.5,sí,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=37
355,Duskull,FASE 1,Blanco,0.8,15.0,no,no,NINGUNO,Defensa + Def. Esp.,
356,Dusclops,FASE 2,Gris,1.6,30.6,no,no,NIVEL,Defensa + Def. Esp.,level-up version_group=ruby-sapphire min_level=37
357,Tropius,ÚNICA,Marrón,2.0,100.0,no,no,NINGUNO,PS,
358,Chimecho,FASE 2,Rojo,0.6,1.0,sí,no,AMISTAD,At. Esp.,level-up version_group=diamond-pearl min_happiness=220 time_of_day=night
359,Absol,ÚNICA,Azul,1.2,47.0,sí,no,NINGUNO,Ataque,
360,Wynaut,FASE 1,ninguno,0.6,14.0,no,no,NINGUNO,PS,
361,Snorunt,FASE 1,Amarillo,0.7,16.8,su evolución,no,NINGUNO,NO TIENE,
362,Glalie,FASE 2,Blanco,1.5,256.5,sí,no,NIVEL,NO TIENE,level-up version_group=ruby-sapphire min_level=42
363,Spheal,FASE 1,Blanco,0.8,39.5,no,no,NINGUNO,PS,
364,Sealeo,FASE 2,Blanco,1.1,87.6,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=32
365,Walrein,FASE 3,ninguno,1.4,150.6,no,no,NIVEL,PS,level-up version_group=ruby-sapphire min_level=44
366,Clamperl,FASE 1,Negro,0.4,52.5,no,no,NINGUNO,Defensa,
367,Huntail,FASE 2,Rojo,1.7,27.0,no,no,INTERCAMBIO,Defensa,trade version_group=ruby-sapphire held_item=deep-sea-tooth
368,Gorebyss,FASE 2,Morado,1.8,22.6,no,no,INTERCAMBIO,At. Esp.,trade version_group=ruby-sapphire held_item=deep-sea-scale
369,Relicanth,ÚNICA,Blanco,1.0,23.4,no,no,NINGUNO,Defensa,
370,Luvdisc,ÚNICA,ninguno,0.6,8.7,no,no,NINGUNO,Velocidad,
371,Bagon,FASE 1,Blanco,0.6,42.1,su evolución,no,NINGUNO,Ataque,
372,Shelgon,FASE 2,Gris,1.1,110.5,su evolución,no,NIVEL,Defensa,level-up version_group=ruby-sapphire min_level=30
373,Salamence,FASE 3,Rojo,1.5,102.6,sí,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=50
374,Beldum,FASE 1,ninguno,0.6,95.2,su evolución,no,NINGUNO,Defensa,
375,Metang,FASE 2,ninguno,1.2,202.5,su evolución,no,NIVEL,Defensa,level-up version_group=ruby-sapphire min_level=20
376,Metagross,FASE 3,ninguno,1.6,550.0,sí,no,NIVEL,Ataque,level-up version_group=ruby-sapphire min_level=45
377,Regirock,ÚNICA,Blanco,1.7,230.0,no,no,NINGUNO,Defensa,
378,Regice,ÚNICA,ninguno,1.8,175.0,no,no,NINGUNO,Def. Esp.,
379,Registeel,ÚNICA,Blanco,1.9,205.0,no,no,NINGUNO,Defensa + Def. Esp.,
380,Latias,ÚNICA,Blanco,1.4,40.0,sí,no,NINGUNO,Def. Esp.,
381,Latios,ÚNICA,Gris,2.0,60.0,sí,no,NINGUNO,At. Esp.,
382,Kyogre,ÚNICA,Rojo,4.5,352.0,no,no,NINGUNO,At. Esp.,
383,Groudon,ÚNICA,Gris,3.5,950.0,no,no,NINGUNO,Ataque,
384,Rayquaza,ÚNICA,ninguno,7.0,206.5,sí,no,NINGUNO,Ataque + At. Esp.,
385,Jirachi,ÚNICA,Blanco,0.3,1.1,no,no,NINGUNO,NO TIENE,
386,Deoxys,ÚNICA,Rosa,1.7,60.8,no,no,NINGUNO,NO TIENE,
387,Turtwig,FASE 1,Amarillo,0.4,10.2,no,no,NINGUNO,Ataque,
388,Grotle,FASE 2,Amarillo,1.1,97.0,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=18
389,Torterra,FASE 3,Marrón,2.2,310.0,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=32
390,Chimchar,FASE 1,Rojo,0.5,6.2,no,no,NINGUNO,Velocidad,
391,Monferno,FASE 2,Rojo,0.9,22.0,no,no,NIVEL,Velocidad,level-up version_group=diamond-pearl min_level=14
392,Infernape,FASE 3,Rojo,1.2,55.0,no,no,NIVEL,Velocidad,level-up version_group=diamond-pearl min_level=36
393,Piplup,FASE 1,Blanco,0.4,5.2,no,no,NINGUNO,At. Esp.,
394,Prinplup,FASE 2,ninguno,0.8,23.0,no,no,NIVEL,At. Esp.,level-up version_group=diamond-pearl min_level=16
395,Empoleon,FASE 3,ninguno,1.7,84.5,no,no,NIVEL,At. Esp.,level-up version_group=diamond-pearl min_level=36
396,Starly,FASE 1,Gris,0.3,2.0,su evolución,no,NINGUNO,Velocidad,
397,Staravia,FASE 2,Negro,0.6,15.5,su evolución,no,NIVEL,Velocidad,level-up version_group=diamond-pearl min_level=14
398,Staraptor,FASE 3,Rojo,1.2,24.9,sí,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=34
399,Bidoof,FASE 1,Rojo,0.5,20.0,no,no,NINGUNO,PS,
400,Bibarel,FASE 2,Rojo,1.0,31.5,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=15
401,Kricketot,FASE 1,Marrón,0.3,2.2,no,no,NINGUNO,Defensa + Def. Esp.,
402,Kricketune,FASE 2,Marrón,1.0,25.5,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=10
403,Shinx,FASE 1,Amarillo,0.5,9.5,no,no,NINGUNO,Ataque,
404,Luxio,FASE 2,Negro,0.9,30.5,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=15
405,Luxray,FASE 3,Negro,1.4,42.0,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=30
406,Budew,FASE 1,Amarillo,0.2,1.2,no,no,NINGUNO,Def. Esp.,
407,Roserade,FASE 3,Blanco,0.9,14.5,no,no,PIEDRA,At. Esp.,use-item version_group=diamond-pearl item=shiny-stone
408,Cranidos,FASE 1,Gris,0.9,31.5,no,no,NINGUNO,Ataque,
409,Rampardos,FASE 2,Gris,1.6,102.5,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=30
410,Shieldon,FASE 1,Marrón,0.5,57.0,no,no,NINGUNO,Defensa,
411,Bastiodon,FASE 2,Negro,1.3,149.5,no,no,NIVEL,Defensa,level-up version_group=diamond-pearl min_level=30
412,Burmy,FASE 1,Negro,0.2,3.4,no,no,NINGUNO,Defensa + Def. Esp.,
413,Wormadam,FASE 2,Negro,0.5,6.5,no,no,NIVEL,Def. Esp.,level-up version_group=diamond-pearl gender=1 min_level=20 required_pokemon_form=burmy-plant evolved_pokemon_form=wormadam-plant || level-up version_group=diamond-pearl gender=1 min_level=20 required_pokemon_form=burmy-sandy evolved_pokemon_form=wormadam-sandy || level-up version_group=diamond-pearl gender=1 min_level=20 required_pokemon_form=burmy-trash evolved_pokemon_form=wormadam-trash
414,Mothim,FASE 2,Rojo,0.9,23.3,no,no,NIVEL,Ataque + At. Esp.,level-up version_group=diamond-pearl gender=2 min_level=20
415,Combee,FASE 1,Blanco,0.3,5.5,no,no,NINGUNO,Velocidad,
416,Vespiquen,FASE 2,Marrón,1.2,38.5,no,no,NIVEL,Defensa + Def. Esp.,level-up version_group=diamond-pearl gender=1 min_level=21
417,Pachirisu,ÚNICA,Azul,0.4,3.9,no,no,NINGUNO,Velocidad,
418,Buizel,FASE 1,Rojo,0.7,29.5,no,no,NINGUNO,Velocidad,
419,Floatzel,FASE 2,Rojo,1.1,33.5,no,no,NIVEL,Velocidad,level-up version_group=diamond-pearl min_level=26
420,Cherubi,FASE 1,Verde,0.4,3.3,no,no,NINGUNO,At. Esp.,
421,Cherrim,FASE 2,Verde,0.5,9.3,no,no,NIVEL,At. Esp.,level-up version_group=diamond-pearl min_level=25
422,Shellos,FASE 1,Rosa,0.3,6.3,no,no,NINGUNO,PS,
423,Gastrodon,FASE 2,Rosa,0.9,29.9,no,no,NIVEL,PS,level-up version_group=diamond-pearl min_level=30 required_pokemon_form=shellos-west evolved_pokemon_form=gastrodon-west || level-up version_group=diamond-pearl min_level=30 required_pokemon_form=shellos-east evolved_pokemon_form=gastrodon-east
424,Ambipom,FASE 2,Amarillo,1.2,20.3,no,no,MOVIMIENTO,Velocidad,level-up version_group=diamond-pearl known_move=double-hit
425,Drifloon,FASE 1,Blanco,0.4,1.2,no,no,NINGUNO,PS,
426,Drifblim,FASE 2,Amarillo,1.2,15.0,no,no,NIVEL,PS,level-up version_group=diamond-pearl min_level=28
427,Buneary,FASE 1,Blanco,0.4,5.5,su evolución,no,NINGUNO,Velocidad,
428,Lopunny,FASE 2,Blanco,1.2,33.3,sí,no,AMISTAD,Velocidad,level-up version_group=diamond-pearl min_happiness=160
429,Mismagius,FASE 2,Rosa,0.9,4.4,no,no,PIEDRA,NO TIENE,use-item version_group=diamond-pearl item=dusk-stone
430,Honchkrow,FASE 2,Azul,0.9,27.3,no,no,PIEDRA,Ataque,use-item version_group=diamond-pearl item=dusk-stone
431,Glameow,FASE 1,Azul,0.5,3.9,no,no,NINGUNO,Velocidad,
432,Purugly,FASE 2,Azul,1.0,43.8,no,no,NIVEL,Velocidad,level-up version_group=diamond-pearl min_level=38
433,Chingling,FASE 1,Rojo,0.2,0.6,su evolución,no,NINGUNO,At. Esp.,
434,Stunky,FASE 1,Blanco,0.4,19.2,no,no,NINGUNO,Velocidad,
435,Skuntank,FASE 2,Blanco,1.0,38.0,no,no,NIVEL,PS,level-up version_group=diamond-pearl min_level=34
436,Bronzor,FASE 1,Azul,0.5,60.5,no,no,NINGUNO,Defensa + Def. Esp.,
437,Bronzong,FASE 2,Azul,1.3,187.0,no,no,NIVEL,Defensa + Def. Esp.,level-up version_group=diamond-pearl min_level=33
438,Bonsly,FASE 1,Verde,0.5,15.0,no,no,NINGUNO,Defensa,
439,Mime Jr.,FASE 1,Azul,0.6,13.0,no,no,NINGUNO,Def. Esp.,
440,Happiny,FASE 1,Rojo,0.6,24.4,no,no,NINGUNO,PS,
441,Chatot,ÚNICA,Azul,0.5,1.9,no,no,NINGUNO,At. Esp.,
442,Spiritomb,ÚNICA,Rosa,1.0,108.0,no,no,NINGUNO,Defensa + Def. Esp.,
443,Gible,FASE 1,ninguno,0.7,20.5,su evolución,no,NINGUNO,Ataque,
444,Gabite,FASE 2,Rojo,1.4,56.0,su evolución,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=24
445,Garchomp,FASE 3,ninguno,1.9,95.0,sí,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=48
446,Munchlax,FASE 1,Azul,0.6,105.0,no,no,NINGUNO,PS,
447,Riolu,FASE 1,Negro,0.7,20.2,su evolución,no,NINGUNO,Ataque,
448,Lucario,FASE 2,Negro,1.2,54.0,sí,no,AMISTAD,At. Esp.,level-up version_group=diamond-pearl min_happiness=160 time_of_day=day
449,Hippopotas,FASE 1,Amarillo,0.8,49.5,no,no,NINGUNO,Defensa,
450,Hippowdon,FASE 2,Amarillo,2.0,300.0,no,no,NIVEL,Defensa,level-up version_group=diamond-pearl min_level=34
451,Skorupi,FASE 1,Azul,0.8,12.0,no,no,NINGUNO,Defensa,
452,Drapion,FASE 2,Rosa,1.3,61.5,no,no,NIVEL,Defensa,level-up version_group=diamond-pearl min_level=40
453,Croagunk,FASE 1,Negro,0.7,23.0,no,no,NINGUNO,Ataque + At. Esp.,
454,Toxicroak,FASE 2,Rojo,1.3,44.4,no,no,NIVEL,Ataque,level-up version_group=diamond-pearl min_level=37
455,Carnivine,ÚNICA,Amarillo,1.4,27.0,no,no,NINGUNO,Ataque,
456,Finneon,FASE 1,Negro,0.4,7.0,no,no,NINGUNO,Velocidad,
457,Lumineon,FASE 2,Negro,1.2,24.0,no,no,NIVEL,Velocidad,level-up version_group=diamond-pearl min_level=31
458,Mantyke,FASE 1,ninguno,1.0,65.0,no,no,NINGUNO,Def. Esp.,
459,Snover,FASE 1,Marrón,1.0,50.5,su evolución,no,NINGUNO,Ataque + At. Esp.,
460,Abomasnow,FASE 2,Verde,2.2,135.5,sí,no,NIVEL,Ataque + At. Esp.,level-up version_group=diamond-pearl min_level=40
461,Weavile,FASE 2,Azul,1.1,34.0,no,no,OBJETO,Velocidad,level-up version_group=diamond-pearl held_item=razor-claw time_of_day=night
462,Magnezone,FASE 3,Azul,1.2,180.0,no,no,PIEDRA,At. Esp.,use-item version_group=sword-shield item=thunder-stone
463,Lickilicky,FASE 2,Rojo,1.7,140.0,no,no,MOVIMIENTO,PS,level-up version_group=diamond-pearl known_move=rollout
464,Rhyperior,FASE 3,Negro,2.4,282.8,no,no,INTERCAMBIO,Ataque,trade version_group=diamond-pearl held_item=protector
465,Tangrowth,FASE 2,ninguno,2.0,128.6,no,no,MOVIMIENTO,Defensa,level-up version_group=diamond-pearl known_move=ancient-power
466,Electivire,FASE 3,Negro,1.8,138.6,no,no,INTERCAMBIO,Ataque,trade version_group=diamond-pearl held_item=electirizer
467,Magmortar,FASE 3,Amarillo,1.6,68.0,no,no,INTERCAMBIO,At. Esp.,trade version_group=diamond-pearl held_item=magmarizer
468,Togekiss,FASE 3,ninguno,1.5,38.0,no,no,PIEDRA,At. Esp.,use-item version_group=diamond-pearl item=shiny-stone
469,Yanmega,FASE 2,Rojo,1.9,51.5,no,no,MOVIMIENTO,At. Esp.,level-up version_group=diamond-pearl known_move=ancient-power
470,Leafeon,FASE 2,Blanco,1.0,25.5,no,no,PIEDRA,Defensa,use-item version_group=sword-shield item=leaf-stone required_pokemon_form=eevee
471,Glaceon,FASE 2,ninguno,0.8,25.9,no,no,PIEDRA,At. Esp.,use-item version_group=sword-shield item=ice-stone required_pokemon_form=eevee
472,Gliscor,FASE 2,Azul,2.0,42.5,no,no,OBJETO,Defensa,level-up version_group=diamond-pearl held_item=razor-fang time_of_day=night
473,Mamoswine,FASE 3,Blanco,2.5,291.0,no,no,MOVIMIENTO,Ataque,level-up version_group=diamond-pearl known_move=ancient-power
474,Porygon-Z,FASE 3,Azul,0.9,34.0,no,no,INTERCAMBIO,At. Esp.,trade version_group=diamond-pearl held_item=dubious-disc
475,Gallade,FASE 3,Verde,1.6,52.0,sí,no,PIEDRA,Ataque,use-item version_group=diamond-pearl item=dawn-stone gender=2
476,Probopass,FASE 2,Rojo,1.4,340.0,no,no,PIEDRA,Def. Esp.,use-item version_group=scarlet-violet item=thunder-stone
477,Dusknoir,FASE 3,Gris,2.2,106.6,no,no,INTERCAMBIO,Defensa + Def. Esp.,trade version_group=diamond-pearl held_item=reaper-cloth
478,Froslass,FASE 2,Azul,1.3,26.6,sí,no,PIEDRA,Velocidad,use-item version_group=diamond-pearl item=dawn-stone gender=1
479,Rotom,ÚNICA,Verde,0.3,0.3,no,no,NINGUNO,At. Esp.,
480,Uxie,ÚNICA,Azul,0.3,0.3,no,no,NINGUNO,Defensa + Def. Esp.,
481,Mesprit,ÚNICA,Azul,0.3,0.3,no,no,NINGUNO,NO TIENE,
482,Azelf,ÚNICA,ninguno,0.3,0.3,no,no,NINGUNO,Ataque + At. Esp.,
483,Dialga,ÚNICA,Azul,5.4,683.0,no,no,NINGUNO,At. Esp.,
484,Palkia,ÚNICA,Blanco,4.2,336.0,no,no,NINGUNO,At. Esp.,
485,Heatran,ÚNICA,Gris,1.7,430.0,sí,no,NINGUNO,At. Esp.,
486,Regigigas,ÚNICA,Amarillo,3.7,420.0,no,no,NINGUNO,Ataque,
487,Giratina,ÚNICA,Amarillo,4.5,750.0,no,no,NINGUNO,PS,
488,Cresselia,ÚNICA,Rosa,1.5,85.6,no,no,NINGUNO,PS + Def. Esp.,
489,Phione,ÚNICA,ninguno,0.4,3.1,no,no,NINGUNO,NO TIENE,
490,Manaphy,ÚNICA,ninguno,0.3,1.4,no,no,NINGUNO,NO TIENE,
491,Darkrai,ÚNICA,Rojo,1.5,50.5,sí,no,NINGUNO,At. Esp.,
492,Shaymin,ÚNICA,Rosa,0.2,2.1,no,no,NINGUNO,NO TIENE,
493,Arceus,ÚNICA,Amarillo,3.2,320.0,no,no,NINGUNO,NO TIENE,
